"('diapers', 0.011430031079372429)"
"('diapers bag', 0.01105070533549941)"
"('bag', 0.010671379591626392)"
"('champ', 0.010423873210814213)"
"('diapers smell', 0.010254918406948579)"
"('diaper bag', 0.009811098308059315)"
"('diaper champ', 0.009687345117653226)"
"('champ diaper pail', 0.009454915892100721)"
"('diaper champ diaper pail', 0.0093288911751986)"
"('bags diapers', 0.00913489817293313)"
"('smell', 0.009079805734524729)"
"('smell diaper smell', 0.009036809497847232)"
"('diaper smell', 0.009015311379508483)"
"('smell diaper pail', 0.009006893400004226)"
"('pail', 0.00899005744099571)"
"('diaper pail', 0.008970437232743975)"
"('diaper', 0.008950817024492238)"
"('diaper pail product', 0.00892101766441696)"
"('diaper product', 0.008886497776127586)"
"('product', 0.008822178527762934)"
"('baby diapers', 0.008327721126955047)"
"('diaper pail bags', 0.008260213243993926)"
"('diaper odor', 0.00823820264352678)"
"('diaper bags', 0.007895291145493035)"
"('diapers odors', 0.007860205042344588)"
"('genie diaper pail', 0.007805735623654234)"
"('odor', 0.007525588262561323)"
"('diaper genie', 0.007213574714983496)"
"('diaper pail money', 0.007145742680475009)"
"('diaper pail refills', 0.00712213411362819)"
"('diaper genie bags', 0.0070889715654869415)"
"('bag refills', 0.007048453733511506)"
"('baby product', 0.007023794851150299)"
"('time smell', 0.007019740562696178)"
"('smell dirty diapers', 0.00699570237217452)"
"('diaper champ people', 0.0069276257586818974)"
"('champ refills', 0.006924700543105417)"
"('smell poopy diapers', 0.006905883940911861)"
"('smell like diapers', 0.006882107558817606)"
"('smell thing', 0.006879671353769418)"
"('bags', 0.006839765266493831)"
"('days diapers', 0.006829029585098412)"
"('champ handle', 0.0068060949550062325)"
"('diaper champ works', 0.006748620513527347)"
"('first diaper champ', 0.0067175713765419654)"
"('diaper champ keeps', 0.006714929875390571)"
"('diapers stuck', 0.0067056801387453)"
"('stuck diapers', 0.0067056801387453)"
"('dirty diaper bag', 0.006699822306248345)"
"('smell odors', 0.006685092369920739)"
