"('years', 0.009188583722478128)"
"('product', 0.008544649145718113)"
"('blade', 0.008466057349769438)"
"('time', 0.008032559788152394)"
"('cuisinart product', 0.007415093782258436)"
"('size', 0.006331497165792261)"
"('size cuisinart', 0.006308517792295511)"
"('cuisinart', 0.006285538418798761)"
"('size processor', 0.006060038043295848)"
"('cuisinart processor', 0.006037058669799098)"
"('amazon', 0.0058036521616761805)"
"('processor', 0.005788578920799434)"
"('motor', 0.005675002068539471)"
"('great product', 0.005582838722888614)"
"('great blade', 0.005543542824914277)"
"('bowl', 0.00544686250690434)"
"('size cuisinart food', 0.005425713285426091)"
"('cuisinart food processor', 0.005244740537095148)"
"('good product', 0.005073591809816257)"
"('kitchen', 0.004999948054217928)"
"('size food', 0.004995800718739757)"
"('cuisinart food', 0.004972821345243007)"
"('use', 0.004788958769472232)"
"('food processor', 0.004724341596243343)"
"('onions', 0.004686375694608838)"
"('one time', 0.004667511936028879)"
"('nuts', 0.004614296041655829)"
"('cuisinart mini processor', 0.0045904543257166254)"
"('mini cuisinart processor', 0.0045904543257166254)"
"('replacement bowl', 0.00454627113880567)"
"('size works great', 0.004257168750788382)"
"('money', 0.004222339710896931)"
"('cup cuisinart', 0.004190311199825158)"
"('processor works great', 0.00407619600245744)"
"('anything', 0.004045512555054475)"
"('time chopping things', 0.004017119265607606)"
"('daughter', 0.004002031321019611)"
"('mini cuisinart', 0.003991392028175221)"
"('cuisinart mini', 0.003991392028175221)"
"('size pieces', 0.003906105449635035)"
"('kitchen counter', 0.0038801712557330276)"
"('works', 0.0038189807865137704)"
"('great kitchen', 0.0038104881771385216)"
"('cuisinart quality', 0.003790441128256789)"
"('something', 0.003743613845875573)"
"('mini processor', 0.003742912279175558)"
"('mini food processor', 0.003715309610012789)"
"('good food processor', 0.0036837392221336957)"
"('food', 0.0036601042716872517)"
"('replacement', 0.0036456797707070006)"
"('good motor', 0.0036387682712269364)"
"('amazon reviews', 0.0036307245889964316)"
"('cuisinart hand blender', 0.0036288538661848717)"
"('item', 0.003607138086422827)"
"('great mini cuisinart', 0.0035346041188031863)"
"('machine', 0.003475779562627399)"
"('chopping bowl', 0.003438079865665561)"
"('one bowl', 0.0033746632954048516)"
"('thing', 0.0033422225288837967)"
"('works great', 0.003220004543286443)"
"('replacement unit', 0.00319875175188903)"
"('good use', 0.003195746621693317)"
"('price', 0.003176544801443773)"
"('day', 0.0030746765993399793)"
"('spices', 0.0030625088281089627)"
"('chopping onions', 0.00305783645951781)"
"('blades', 0.0030538951486133235)"
"('great machine', 0.0030484039313432576)"
"('one use', 0.0030457114266887976)"
"('chopping nuts', 0.0030217966330413058)"
"('love', 0.003013106733581182)"
"('spices etc', 0.0030070802922408033)"
"('lot', 0.002999220387231631)"
"('times', 0.002989183303027308)"
"('etc', 0.0029516517563726442)"
"('machine works fine', 0.002939087554024254)"
"('quality mini processor', 0.0029270561320219775)"
"('anything well', 0.0028620202628288163)"
"('veggies', 0.002816534612059133)"
"('great job chopping onions', 0.002814912548609462)"
"('counter', 0.002760394457248127)"
"('unit', 0.0027518237330710596)"
"('works well', 0.002748754378558464)"
"('blender', 0.0027214057975733204)"
"('food chopper', 0.002640025378769431)"
"('great', 0.0026210283000591156)"
"('things', 0.0025895007842436416)"
"('great job', 0.002571988637701114)"
"('onion', 0.0025612827706050028)"
