"('diaper', 0.019511903381941646)"
"('diaper champ', 0.015120123989815614)"
"('diaper smell', 0.014953944185403967)"
"('diaper bag', 0.01454519218889308)"
"('diaper pail', 0.014055476940193344)"
"(""diaper 's"", 0.013836751356764494)"
"('diaper odor', 0.013326473888080151)"
"('diaper genie', 0.013013788812380193)"
"('diapers', 0.012153829184152632)"
"('put diaper', 0.011962832147570709)"
"('diaper genie bags', 0.011824638351255376)"
"('recommend diaper champ', 0.011665199465181046)"
"('use', 0.011476312108803143)"
"('diaper odors', 0.011383732970860112)"
"('diapers smell', 0.01127490708650946)"
"('great diaper pail', 0.01116171028833085)"
"('dirty diaper', 0.011129097653241306)"
"('buy diaper pail', 0.011103849101880224)"
"('new diaper champ', 0.011065420490430813)"
"('diaper inside', 0.011007729174005526)"
"('diaper champ works', 0.010994444400739494)"
"('open diaper pail', 0.010806492117209243)"
"('used diaper champ', 0.010797263259351467)"
"('champ', 0.010728344597689583)"
"('use regular diaper bags', 0.010502344671544022)"
"('diaper champ uses', 0.010491382187334993)"
"('poopy diaper', 0.010446553632159098)"
"('stinky diaper smell', 0.010434773597333288)"
"('smell', 0.010395984988866288)"
"('new diaper pail', 0.010355655790682634)"
"('diaper champ worked', 0.010339524180538058)"
"('diaper champ cover', 0.010289275223839638)"
"('diaper smell contained', 0.01026368163337082)"
"('diaper pail refills', 0.01018508712830872)"
"('diaper tabs', 0.010170908313014976)"
"('diaper solution', 0.010148247077966015)"
"('diaper pails', 0.010143693495455509)"
"('diaper sitting', 0.010133763727386101)"
"('open diaper genie', 0.010112033365333808)"
"('diaper genies', 0.010091266728766842)"
"('diaper bag like', 0.010065268815007406)"
"('best diaper pail', 0.010038608390664325)"
"('disposable diaper', 0.010037063542238232)"
"('new diaper genie', 0.009661197038807199)"
"('odorless diaper pail', 0.009632843852595172)"
"('bag', 0.009578480995844515)"
"('bags', 0.009446337429005736)"
"('diaper genie refill', 0.009088239860852073)"
"(""baby 's diapers"", 0.009066978575573655)"
"('like diaper genie', 0.00904433323066548)"
"('change diapers', 0.008979943830870916)"
"('diaper champ getting dirty', 0.008859145986976666)"
"('pail', 0.008599050498445044)"
"('year old diaper champ', 0.008520617145946752)"
"('smell dirty diapers', 0.008432035365853295)"
"('use cloth diapers', 0.008205528752271566)"
"(""'s"", 0.008161599331587341)"
"('diaper champ required less', 0.008045669516388798)"
"('bag get', 0.007957905699562189)"
"('diaper gets stuck', 0.00778366443794123)"
"('special diaper genie bags started', 0.007728244186869661)"
"('diapers odors', 0.007704695871965604)"
"('change bag', 0.0076922697367168575)"
"('bag change', 0.0076922697367168575)"
"('diaper got stuck', 0.007671871628841191)"
"('change bags', 0.007626197953297468)"
"('diapers go', 0.007543210860146507)"
"(""baby 's"", 0.007523553271284166)"
"('little blue diaper', 0.0075143737556100446)"
"('use regular bags', 0.007499158434744815)"
"('dirty diapers', 0.007450060554346799)"
"('diaper gets bigger', 0.0074425004672568)"
