"('recommend', 0.01848065318538627)"
"('chopping', 0.017170777159859603)"
"(""'s"", 0.016454432891150787)"
"('recommend using', 0.013194618772909006)"
"('small', 0.012701504429937583)"
"(""'s great"", 0.012692490384352922)"
"('chopping onions', 0.012327965421370893)"
"('small chopping jobs', 0.011739223725483533)"
"('use', 0.011592445373808711)"
"('chopping onion', 0.011228478650391067)"
"(""'s little"", 0.011096390455250271)"
"('chopping nuts', 0.011082746196311336)"
"('time chopping', 0.010902871631196322)"
"('chopping take', 0.010850999739353483)"
"(""'s size"", 0.010804367657891218)"
"('make', 0.009870006521840294)"
"('good', 0.009490203572785811)"
"('small job', 0.009063047271314194)"
"('small jobs', 0.0090234470082955)"
"('great', 0.008930547877555057)"
"('good product', 0.008682817889487698)"
"('small processor', 0.008659450042026968)"
"('kitchen', 0.008572844263032413)"
"('make salad', 0.008310001173806479)"
"('great blade', 0.008013615751415324)"
"('using', 0.007908584360431741)"
"('product', 0.007875432206189584)"
"('want', 0.0076334325969777544)"
"('onions', 0.007485153682882184)"
"('good job', 0.007457396842738308)"
"('great job', 0.007177568995122931)"
"('works great', 0.0071414073716888245)"
"('blade', 0.007096683625275591)"
"('salad', 0.006749995825772665)"
"('bowl', 0.006646966126312528)"
"('great little processor', 0.006428763850340388)"
"('little', 0.005738348019349755)"
"('making salad', 0.005696719514974567)"
"('job', 0.0054245901126908054)"
"('easy', 0.005370161977275849)"
"('works', 0.005352266865822592)"
"('jobs', 0.005345389586653416)"
"('onion', 0.005286180140922534)"
"('size', 0.00515430242463165)"
"('buy', 0.005051277196191368)"
"('nuts', 0.004994715232763071)"
"('quick', 0.004865454283346863)"
"('money', 0.004697002571916419)"
"('making', 0.004643443204176469)"
"('time', 0.004634966102533041)"
"('careful', 0.004634885428150737)"
"('processor', 0.004617395654116351)"
"('take making', 0.0045873327615119155)"
"('chop nuts', 0.004560530984992707)"
"('take', 0.004531222318847363)"
"('cuisinart', 0.004526839306387682)"
"('used', 0.004364544745879899)"
"('get', 0.004334701475501747)"
"('garlic', 0.004307647985009785)"
"('chop', 0.004126346737222344)"
"('veggies', 0.004088359894399423)"
"('kind', 0.004014199509307145)"
