"('diaper', 0.028431697061120857)"
"('diaper bag', 0.02155731740842082)"
"('diaper champ', 0.021520096848287366)"
"('diaper pail', 0.020483261708011888)"
"('diaper smell', 0.019681590173074155)"
"('diaper odor', 0.018888068264758057)"
"('diaper genie', 0.01876808863723804)"
"('diaper genie bags', 0.01747607309712516)"
"('diaper odors', 0.01638125084851349)"
"('dirty diaper', 0.016179493756484118)"
"('great diaper pail', 0.016084529345841828)"
"('diapers', 0.01574202911089774)"
"('diaper inside', 0.015657983657467664)"
"('new diaper champ', 0.015623729737804683)"
"('poopy diaper', 0.015266225609373883)"
"('new diaper pail', 0.014932506310954363)"
"('bags', 0.014892042016899405)"
"('diaper pail refills', 0.014840535718793258)"
"('diaper champ works', 0.01481850807265967)"
"('diaper tabs', 0.014804381167510273)"
"('open diaper pail', 0.014768953271839936)"
"('diaper solution', 0.01475447233174075)"
"('diaper pails', 0.01474609292906688)"
"('diaper genies', 0.014726168037335492)"
"('best diaper pail', 0.014703593747236796)"
"('bag', 0.014682937755720785)"
"('diaper champ cover', 0.014627432090880707)"
"('diaper champ uses', 0.014624127109093103)"
"('disposable diaper', 0.014611319293448359)"
"('champ', 0.014608496635453877)"
"('diaper container', 0.014604770899144257)"
"('neat diaper', 0.01459361590744797)"
"('buy diaper pail', 0.01424069963814461)"
"('odorless diaper pail', 0.014021567407620431)"
"('special diaper genie bags', 0.013908678859056372)"
"('new diaper genie', 0.013789057597105131)"
"('stinky diaper smell', 0.013769569916361973)"
"('open diaper genie', 0.013625504557990706)"
"('diapers smell', 0.013336756197962596)"
"('poopy diaper odor', 0.01329229689571434)"
"('diaper genie refill', 0.013091948066485575)"
"('pail', 0.012534826354902915)"
"('use regular diaper bags', 0.012337438009517228)"
"('year old diaper champ', 0.012101525244468976)"
"('smell', 0.010931483285027452)"
"('little blue diaper', 0.010862354810879118)"
"('diaper gets stuck', 0.01067245990117231)"
"('trash bags', 0.010494307099767924)"
"('trash bag', 0.010389754969178615)"
"('several diaper tabs', 0.010320309834024795)"
"('diaper tabs get', 0.010301511403807273)"
"('diaper gets bigger', 0.010298053614937996)"
"('several diaper genies', 0.010268167747241607)"
"('smell dirty diapers', 0.01020026761592419)"
"('diapers odors', 0.010036416873401932)"
"('old diapers', 0.009850713490993613)"
"('dirty diapers', 0.00983465978137256)"
"('baby', 0.00959196035834915)"
"('garbage bags', 0.009529820206873745)"
"('bad diapers', 0.009465672756678773)"
"('product', 0.00944768911132656)"
"('garbage bag', 0.009425268076284436)"
"('odor', 0.00934443946839526)"
"('diapers inside', 0.009313149682356104)"
"('regular bags', 0.009268040943691078)"
"('new bag', 0.009256966636280053)"
"('genie', 0.009104480213355222)"
"('special genie bags', 0.009067672791701543)"
"('special bags', 0.009049269080874705)"
"('open bag', 0.009011637077608412)"
"('poopy diapers', 0.008921391634262324)"
"('easy', 0.00892040922818333)"
"('bag full', 0.008918905702529512)"
"('full bag', 0.008918905702529512)"
"('bags inside', 0.008888156135356937)"
"('stinky diapers', 0.008843779256917674)"
"('plastic bags', 0.008843202138450945)"
"('bag inside', 0.008783604004767626)"
"('diapers stink', 0.008751928185487513)"
"('plastic bag', 0.008738650007861634)"
"('expensive bags', 0.008724818712177985)"
"('toddler diapers', 0.008700292588377009)"
"('first champ', 0.008689595082490453)"
"('champ first', 0.008689595082490453)"
"('expensive bag', 0.008620266581588674)"
"('change diapers', 0.008579678262116096)"
"('cloth diapers', 0.008573008294687375)"
"('kids diapers', 0.008499714251161689)"
"('larger diapers', 0.008474606925627966)"
"('store bags', 0.008396854270445234)"
"('infant diapers', 0.0083686470472605)"
"('great product', 0.008367376866414136)"
"('garbage pail', 0.008351212375875501)"
"('refill bags', 0.008315854470940026)"
"('disposable diapers', 0.0082664853183368)"
"('bags cost', 0.00824791021359107)"
"('old pail', 0.0082471121129962)"
"('bag spray', 0.008212683033272744)"
"('refill bag', 0.008211302340350715)"
"('regular trash bags', 0.0082108846900062)"
"('new trash bag', 0.00820350181839885)"
"('extra bag', 0.008186478360311493)"
"('change bags', 0.008154684715116928)"
"('kitchen bags', 0.008138480461131383)"
"('smell thing', 0.008073164199021364)"
"('bag change', 0.008050132584527619)"
"('change bag', 0.008050132584527619)"
"('larger bags', 0.008049613378628797)"
"('kitchen bag', 0.008033928330542074)"
"('bags helps', 0.008021455493081659)"
"('bag get', 0.007989354816061032)"
"('pail open', 0.007937581377199477)"
"('champ last', 0.007919082494521817)"
"('bag outside', 0.007917210034921155)"
"('gallon bags', 0.007895358915410215)"
"('grocery bags', 0.007893444578283698)"
"('bag changes', 0.007833406152160747)"
"('grocery bag', 0.007788892447694388)"
"('inside pail', 0.007709548304358691)"
"('smell good', 0.007639158847200239)"
"('kitchen trash bags', 0.007457844368299739)"
"('kitchen trash bag', 0.007388142947906864)"
"('garbage bag better', 0.0073405757110579116)"
"('great', 0.007287064621501713)"
"('standard trash bags', 0.007263075120102381)"
"('bad smell', 0.007060399843743628)"
"('use regular bags', 0.006972684992316018)"
"('smell inside', 0.0069078767694209595)"
"('special expensive bags', 0.006885377856401992)"
"('smell anything', 0.006825533345899182)"
"('regular garbage pail', 0.006782154874077917)"
"('use regular trash bags', 0.006753656789896125)"
"('new baby', 0.006711477937594236)"
"('smell something', 0.00668293408833107)"
"('buying special bags', 0.0066480823195899375)"
"('uses garbage bags', 0.006630609348150691)"
"('standard garbage bags', 0.006620083858172928)"
"('buy special bags', 0.006618037886719824)"
"('enough garbage bag', 0.006606047386564115)"
"('old genie', 0.006531939042222354)"
"('poopy smell', 0.006516118721327181)"
"('use cloth diapers', 0.006509329892980218)"
"('regular grocery bags', 0.006476976342350049)"
"('stinky smell', 0.00643850634398253)"
"('smell much', 0.006428739172969994)"
"('buy expensive bags', 0.006401737640922011)"
"('time', 0.006384065228722102)"
"('nursery smell', 0.006373616444360028)"
"('best baby', 0.006368109092017883)"
"('uses regular trash bags', 0.006366210425180796)"
"('odor problem', 0.0063380207800474864)"
"('genie refills', 0.00632978197685561)"
"('purchase special bags', 0.006307316884511432)"
"('use regular garbage bags', 0.006271413343449036)"
"('bad odor', 0.006266877935427532)"
"('great thing', 0.0062509548672584955)"
"('day kitchen trash bags', 0.006237519377343655)"
"('wonderful smell', 0.006200381612106224)"
"('plastic grocery bags', 0.0061937504721899595)"
"('little good smell', 0.006142852770286027)"
"('second baby', 0.0061336069435490425)"
"('buy refill bags', 0.006129094813430038)"
"('easy problem', 0.006126005659941522)"
"('plastic grocery bag', 0.006124049051797087)"
"('odor inside', 0.006114354861104863)"
